sun,,,,,,,,,,Mercury,,,,,,,,,,Venus,,,,,,,,,,Earth,,,,,,,,,,Mars,,,,,,,,,,Jupiter,,,,,,,,,,Saturn,,,,,,,,,,Uranus,,,,,,,,,,Neptune,,,,,,,,,,Pluto,,,,,,,,,,
mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,mass,x,y,z,Vx,Vy,Vz,ax,ay,az,
1.9801e+30,-1071.9499612,-11810.2883837,69.2004296378,0.0340991985864,-0.192265652183,0.000288025222757,0.0318791985864,-0.192236152183,0.000283225222757,3.3022e+23,-31948083.0873,37339216.6708,6000237.63618,34594.9474409,-40531.1381586,-6509.01254727,34643.9304409,-40504.3821586,-6506.70254727,4.8685e+24,99684728.378,43693342.1053,-5159209.09402,-10185.4950297,-4427.89647956,527.670655944,-10172.2540297,-4459.99647956,526.470655944,5.9736e+24,-104993715.375,-105993698.818,5003.70618709,4196.58330466,4193.61874395,-0.195905107028,4176.08330466,4215.12574395,-0.195815607028,6.4185e+23,-219897163.979,114998491.643,7809898.75499,1887.21984035,-1012.06166515,-67.5476746372,1897.60284035,-992.591665151,-67.3946746372,1.8986e+27,160069945.258,-761399676.418,-404840.126372,-32.2949523296,216.821452267,-0.183248156381,-44.8949523296,213.521452267,0.113751843619,5.6846e+26,-1284999909.71,532599951.87,41899997.2419,58.7905061126,-35.0681240197,-1.73103590441,62.9965061126,-26.1231240197,-2.05403590441,8.681e+25,2946999979.62,-566999989.478,-40299999.6967,-13.1743360684,9.13793590097,0.204710100091,-14.4143360684,2.76793590097,0.197150100091,1.0243e+26,3549999995.59,-2769999989.66,-24900000.1109,-1.83359390439,8.33286901781,-0.128924159821,-5.14359390439,4.01286901781,0.0360758401788,1.25e+22,-47299994.3793,-4679999992.2,514999997.541,5.59045015558,4.83596838574,-2.13284597739,0.060450155578,5.93096838574,-0.652845977393,
1.9801e+30,-1071.86806217,-11810.7689681,69.2011472056,0.0659657548613,-0.38447813829,0.000574386913907,0.0318665562749,-0.192212486107,0.000286361691149,3.3022e+23,-31861353.0042,37237731.2278,5983936.80253,69351.7045633,-81167.3413436,-13036.8932843,34756.7571225,-40636.203185,-6527.88073698,4.8685e+24,99659279.8328,43682222.1612,-5157891.47581,-20360.8617622,-8889.26155483,1054.30235879,-10175.3667325,-4461.36507528,526.631702847,5.9736e+24,-104983253.921,-105983181.755,5003.21652335,8373.16403698,8409.2482802,-0.391744194348,4176.58073233,4215.62953626,-0.195839087321,6.4185e+23,-219892430.281,114995990.655,7809730.11269,3784.87188818,-2004.6788554,-134.944092449,1897.65204783,-992.617190249,-67.3964178114,1.8986e+27,160069845.62,-761399139.314,-404840.138992,-77.1899461288,430.343084048,-0.0694961330691,-44.8949937992,213.521631781,0.113752023311,5.6846e+26,-1284999756.43,532599877.617,41899992.4299,121.787021617,-61.1912514301,-3.78507212402,62.9965155041,-26.1231274105,-2.05403621961,8.681e+25,2946999944.82,-566999976.188,-40299999.1963,-27.5886723558,11.9058718126,0.401860203059,-14.4143362873,2.7679359116,0.197150102968,1.0243e+26,3549999986.05,-2769999975.31,-24900000.1857,-6.97718783557,12.3457380472,-0.0928483192477,-5.14359393118,4.01286902935,0.0360758405734,1.25e+22,-47299988.6982,-4679999978.47,514999994.429,5.6509003041,10.7669367913,-2.78569195482,0.0604501485234,5.93096840558,-0.652845977427,
1.9801e+30,-1071.75432857,-11811.4417053,69.2021590514,0.0978109850382,-0.576650863112,0.000866026198536,0.0318452301769,-0.192172724823,0.00029163928463,3.3022e+23,-31739581.7275,37095277.1693,5961054.68534,104298.085965,-122025.152775,-19600.3758867,34946.3814013,-40857.8114311,-6563.48260247,4.8685e+24,99623648.1314,43666637.431,-5156046.82282,-30541.4215072,-13352.9073033,1581.20277577,-10180.559745,-4463.64574848,526.900416979,5.9736e+24,-104968614.641,-105968447.804,5002.53096181,12550.5746563,12625.7172071,-0.587622423035,4177.41061934,4216.46892693,-0.195878228687,6.4185e+23,-219885798.808,114992496.986,7809494.06961,5682.60589849,-2997.33870353,-202.343416771,1897.73401031,-992.659848128,-67.3993243219,1.8986e+27,160069701.088,-761398388.688,-404840.03786,-122.085006599,643.865015214,0.0442561338632,-44.8950604706,213.521931166,0.113752266932,5.6846e+26,-1284999540.14,532599777.242,41899985.5637,184.783552682,-87.3143847981,-5.83910885996,62.9965310657,-26.123133368,-2.05403673594,8.681e+25,2946999895.61,-566999960.13,-40299998.4987,-42.0030090035,14.6738077624,0.599010310843,-14.4143366478,2.76793594978,0.197150107784,1.0243e+26,3549999971.35,-2769999956.94,-24900000.2244,-12.1207818082,16.3586070998,-0.0567724781762,-5.14359397266,4.01286905259,0.0360758410716,1.25e+22,-47299982.9566,-4679999958.8,514999990.664,5.71135044562,16.6979052314,-3.43853793385,0.0604501415155,5.93096844013,-0.652845979032,
1.9801e+30,-1071.60879533,-11812.3065308,69.2034737757,0.129625820642,-0.768767260369,0.00116515824454,0.031814835604,-0.192116397257,0.000299132045999,3.3022e+23,-31582460.853,36911494.0176,5931533.37434,139513.278352,-163197.15208,-26214.3326297,35215.1923872,-41171.9993057,-6613.95674296,4.8685e+24,99577824.9513,43646584.262,-5153674.70438,-40729.2606267,-17819.7484592,2108.47988731,-10187.8391195,-4466.84115589,527.277111538,5.9736e+24,-104949796.206,-105949495.62,5001.64943982,16729.1479987,16843.3615039,-0.783555472085,4178.57334237,4217.64429672,-0.19593304905,6.4185e+23,-219877269.429,114988010.568,7809190.6211,7580.45463433,-3990.05834652,-269.746811225,1897.84873584,-992.719642989,-67.4033944546,1.8986e+27,160069511.66,-761397424.539,-404839.822975,-166.980158944,857.387365635,0.158008708346,-44.8951523442,213.522350421,0.113752574483,5.6846e+26,-1284999260.87,532599650.742,41899976.6436,247.78010548,-113.43752669,-7.89314631336,62.9965527976,-26.1231418921,-2.05403745341,8.681e+25,2946999831.99,-566999941.305,-40299997.604,-56.4173461533,17.4417437779,0.79616042538,-14.4143371498,2.76793601552,0.197150114537,1.0243e+26,3549999951.52,-2769999934.57,-24900000.2271,-17.264375837,20.3714761873,-0.0206966365029,-5.14359402882,4.01286908754,0.0360758416733,1.25e+22,-47299977.1546,-4679999933.21,514999986.246,5.77180058017,22.6288737208,-4.09138391606,0.0604501345542,5.9309684894,-0.652845982209,
1.9801e+30,-1071.43150728,-11813.3633623,69.2051023527,0.161400642965,-0.960810090798,0.00147410406023,0.0317748223223,-0.192042830428,0.000308945815693,3.3022e+23,-31389597.6686,36685922.7295,5895299.12537,175079.882355,-204779.909411,-32894.2768565,35566.6040027,-41582.7573307,-6679.94422683,4.8685e+24,99521799.8707,43622058.081,-5150774.58116,-50926.4738956,-22290.7034484,2636.2421092,-10197.2132688,-4470.95498918,527.762221894,5.9736e+24,-104926796.954,-105926323.524,5000.57187899,20909.2174229,21062.5176777,-0.97955904536,4180.06942416,4219.15617384,-0.196003573275,6.4185e+23,-219866841.98,114982531.315,7808819.76135,9478.45086992,-4982.85492718,-337.155439831,1897.99623559,-992.796580662,-67.4086286057,1.8986e+27,160069277.337,-761396246.868,-404839.494337,-211.875428364,1070.91025518,0.27176165431,-44.8952694201,213.522889548,0.113752945964,5.6846e+26,-1284998918.59,532599498.12,41899965.6694,310.77668618,-139.560679673,-9.94718468538,62.9965806997,-26.1231529829,-2.05403837201,8.681e+25,2946999753.95,-566999919.711,-40299996.5121,-70.8316839467,20.2096798867,0.993310548609,-14.4143377933,2.76793610883,0.197150123228,1.0243e+26,3549999926.54,-2769999908.17,-24900000.1937,-22.4079699367,24.3843453215,0.0153792058758,-5.14359409967,4.0128691342,0.0360758423786,1.25e+22,-47299971.2921,-4679999901.68,514999981.175,5.83225070781,28.5598422742,-4.74422990302,0.0604501276396,5.93096855339,-0.652845986958,
1.9801e+30,-1071.22251995,-11814.6120991,69.207058289,0.193125099933,-1.1527612196,0.00179532560157,0.0317244569687,-0.191951128805,0.000321221541343,3.3022e+23,-31160510.0452,36417999.7234,5852261.40083,211085.043113,-246875.307194,-39656.575311,36005.160758,-42095.397783,-6762.29845446,4.8685e+24,99455560.3574,43593053.3896,-5147345.80459,-61135.1668853,-26766.6954336,3164.59841599,-10208.6929897,-4475.99198519,528.356306791,5.9736e+24,-104899614.887,-105898929.499,4999.29818519,25091.116957,25283.5229122,-1.17564887855,4181.8995341,4221.00523451,-0.19608983319,6.4185e+23,-219854516.264,114976059.124,7808381.48336,11376.6273938,-5975.74559578,-404.570467113,1898.17652386,-992.890668605,-67.4150272824,1.8986e+27,160068998.118,-761394855.672,-404839.051945,-256.770840062,1284.43380373,0.385515035685,-44.8954116987,213.523548549,0.113753381376,5.6846e+26,-1284998513.32,532599319.375,41899952.6411,373.773300952,-165.683846314,-12.0012241771,62.996614772,-26.1231666405,-2.05403949175,8.681e+25,2946999661.5,-566999895.35,-40299995.223,-85.2460225251,22.9776161164,1.19046068247,-14.4143385784,2.7679362297,0.197150133857,1.0243e+26,3549999896.41,-2769999877.77,-24900000.1242,-27.5515641219,28.3972145141,0.0514550490633,-5.14359418521,4.01286919256,0.0360758431875,1.25e+22,-47299965.3692,-4679999864.23,514999975.452,5.89270082858,34.4908109063,-5.3970758963,0.0604501207716,5.93096863209,-0.652845993278,
1.9801e+30,-1070.98190065,-11816.0526205,69.2093578244,0.224787898859,-1.34460136559,0.0021314654192,0.0316627989261,-0.191840145989,0.000336139817625,3.3022e+23,-30894619.9778,36107049.3298,5802311.65691,247621.725945,-289592.031486,-46518.6877143,36536.6828325,-42716.724292,-6862.11240329,4.8685e+24,99379091.7532,43559563.7573,-5143387.6161,-71357.4583779,-31248.6533726,3693.65846589,-10222.2914926,-4481.95793903,529.060049895,5.9736e+24,-104868247.673,-105867311.187,4997.82824851,29275.1814459,29506.7152159,-1.37184074618,4184.06448892,4223.19230373,-0.196191867632,6.4185e+23,-219840292.052,114968593.876,7807875.77901,13275.0170118,-6968.74751169,-471.993058216,1898.38961805,-993.001915907,-67.4225911023,1.8986e+27,160068674.004,-761393250.952,-404838.495799,-301.666419243,1497.95813116,0.499268916406,-44.8955791805,213.524327425,0.11375388072,5.6846e+26,-1284998045.05,532599114.506,41899937.5588,436.769955966,-191.807029178,-14.0552649898,62.9966550146,-26.1231828647,-2.05404081263,8.681e+25,2946999554.63,-566999868.22,-40299993.7369,-99.6603620302,25.7455524945,1.38761082889,-14.4143395051,2.76793637812,0.197150146423,1.0243e+26,3549999861.15,-2769999843.35,-24900000.0186,-32.6951584074,32.4100837767,0.0875308931633,-5.14359428543,4.01286926263,0.0360758441,1.25e+22,-47299959.3858,-4679999820.84,514999969.075,5.95315094253,40.4217796318,-6.04992189747,0.0604501139503,5.93096872551,-0.652846001171,
1.9801e+30,-1070.70972975,-11817.6847846,69.2120201802,0.256376567066,-1.53630981262,0.00248539234868,0.0315886682065,-0.191708447032,0.000353926929488,3.3022e+23,-30591245.5631,35752274.4119,5745321.83686,284790.185132,-333047.289069,-53499.4426071,37168.4591871,-43455.2575834,-6980.75489283,4.8685e+24,99292377.2582,43521581.8143,-5138899.14624,-81595.482816,-35737.5130927,4223.53272757,-10238.0244381,-4488.85972013,529.874261686,5.9736e+24,-104832692.644,-105831465.895,4996.16194318,33461.7466995,33732.433572,-1.56815046867,4186.5652536,4225.71835608,-0.196309722486,6.4185e+23,-219824169.082,114960135.433,7807302.63897,15173.6525505,-7961.87784498,-539.424379009,1898.6355387,-993.130333291,-67.4313207939,1.8986e+27,160068304.994,-761391432.706,-404837.825899,-346.562191109,1711.48335734,0.613023360404,-44.8957718661,213.52522618,0.113754443998,5.6846e+26,-1284997513.79,532598883.514,41899920.4225,499.766657394,-217.930230834,-16.1093073244,62.9967014274,-26.1232016556,-2.05404233464,8.681e+25,2946999433.35,-566999838.323,-40299992.0535,-114.074702604,28.5134890486,1.58476098982,-14.4143405733,2.76793655411,0.197150160928,1.0243e+26,3549999820.74,-2769999804.93,-24899999.877,-37.8387528077,36.4229531211,0.123606738279,-5.14359440034,4.0128693444,0.0360758451161,1.25e+22,-47299953.342,-4679999771.52,514999962.046,6.01360104971,46.3527484655,-6.7027679081,0.0604501071757,5.93096883365,-0.652846010634,
1.9801e+30,-1070.40610228,-11819.5084258,69.2150678667,0.287877170373,-1.72786407163,0.0028602551291,0.0315006033069,-0.191554259008,0.000374862780413,3.3022e+23,-30249591.1266,35352744.8255,5681142.51702,322699.686023,-377368.820688,-60619.3607651,37909.5008912,-44321.5316184,-7119.918158,4.8685e+24,99195397.9104,43479099.2433,-5133879.41369,-91851.3927969,-40234.2183841,4754.33260929,-10255.9099808,-4496.70529135,530.799881716,5.9736e+24,-104792946.793,-105791390.584,4994.29912754,37651.1496418,37961.0180889,-1.76459391941,4189.40294235,4228.58451687,-0.196443450742,6.4185e+23,-219806147.058,114950683.641,7806662.05277,17072.56686,-8955.15377809,-606.865596206,1898.91430946,-993.275933113,-67.4412171967,1.8986e+27,160067891.088,-761389400.933,-404837.042243,-391.458180865,1925.00960215,0.726778431615,-44.8959897559,213.526244815,0.113755071211,5.6846e+26,-1284996919.52,532598626.399,41899901.2321,562.763411404,-244.053453847,-18.1633513822,62.9967540105,-26.1232230132,-2.05404405779,8.681e+25,2946999297.65,-566999805.657,-40299990.173,-128.489044387,31.2814258063,1.78191116719,-14.4143417831,2.76793675766,0.197150177369,1.0243e+26,3549999775.18,-2769999762.48,-24899999.6992,-42.9823473376,40.435822559,0.159682584515,-5.14359452994,4.01286943788,0.0360758462357,1.25e+22,-47299947.2377,-4679999716.27,514999954.364,6.07405115016,52.283717422,-7.35561392977,0.0604501004477,5.9309689565,-0.65284602167,
1.9801e+30,-1070.0711299,-11821.5233529,69.2185270587,0.319273976592,-1.91923947816,0.00325954636473,0.0313968062191,-0.191375406531,0.000399291235635,3.3022e+23,-29868735.1332,34907383.2849,5609600.63639,361470.557611,-422697.300596,-67901.040674,38770.8715879,-45328.4799079,-7281.67990896,4.8685e+24,99088132.5644,43432106.7693,-5128327.32411,-102127.361617,-44739.7221153,5286.17059051,-10275.9688197,-4505.50373118,531.837981222,5.9736e+24,-104749006.775,-105747081.878,4992.23964395,41843.7284617,42192.8101521,-1.96118703197,4192.57881987,4231.79206325,-0.196593112556,6.4185e+23,-219786225.652,114940238.329,7805954.00875,18971.7928171,-9948.59250746,-674.317877467,1899.22595712,-993.43872937,-67.4522812614,1.8986e+27,160067432.285,-761387155.632,-404836.144831,-436.354413716,2138.53698549,0.840534193976,-44.8962328507,213.527383335,0.113755762361,5.6846e+26,-1284996262.27,532598343.161,41899879.9877,625.760224168,-270.176700785,-20.2173973643,62.996812764,-26.1232469375,-2.05404598209,8.681e+25,2946999147.54,-566999770.224,-40299988.0954,-142.903387521,34.0493627951,1.97906136293,-14.4143431344,2.76793698877,0.197150195749,1.0243e+26,3549999724.48,-2769999716.03,-24899999.4854,-48.1259420118,44.448692102,0.195758431974,-5.14359467422,4.01286954307,0.0360758474589,1.25e+22,-47299941.073,-4679999655.09,514999946.029,6.13450124392,58.214686516,-8.00845996405,0.0604500937663,5.93096909406,-0.652846034277,
